,ID,Count
0,18288,483.6870771155178
1,18289,386.0075927477905
2,18290,326.6813166912917
3,18291,269.9251009855452
4,18292,227.19677321433977
5,18293,203.37858849215024
6,18294,218.68720884228432
7,18295,253.61940036555455
8,18296,292.05856387245996
9,18297,377.40347766048956
10,18298,535.6813749807403
11,18299,593.8730424542979
12,18300,600.1649627778797
13,18301,530.7991198662676
14,18302,567.5535615378972
15,18303,560.3848982184074
16,18304,546.0819536576985
17,18305,558.8033226179443
18,18306,572.5561539263185
19,18307,607.5399185669951
20,18308,583.8248800796173
21,18309,544.9387495551899
22,18310,546.9157190557685
23,18311,533.988057625897
24,18312,368.08121492796306
25,18313,293.7480665337105
26,18314,248.60134088982375
27,18315,205.41040646116755
28,18316,172.89455986948911
29,18317,154.7691503129539
30,18318,166.4188632036759
31,18319,193.00192507222937
32,18320,222.25375890002724
33,18321,287.20041768272137
34,18322,407.64837566686117
35,18323,451.9316750886392
36,18324,456.71976595669605
37,18325,403.9330264686973
38,18326,431.9028031788188
39,18327,426.44751932095147
40,18328,415.5631160361895
41,18329,425.2439554961941
42,18330,435.7097278853885
43,18331,462.3320364004014
44,18332,444.2851201367843
45,18333,414.6931487063378
46,18334,416.19760348728437
47,18335,406.3597774414418
48,18336,362.60973377488665
49,18337,289.38153832034766
50,18338,244.90591309795886
51,18339,202.35700649937382
52,18340,170.32450389425958
53,18341,152.4685262803455
54,18342,163.9450676482208
55,18343,190.13297563196292
56,18344,218.94998461407278
57,18345,282.9312194493526
58,18346,401.5887336256884
59,18347,445.2137673486051
60,18348,449.93068384567715
61,18349,397.9286126279608
62,18350,425.48262211085466
63,18351,420.1084303641912
64,18352,409.385822370848
65,18353,418.9227573649272
66,18354,429.23295735852656
67,18355,455.4595285922446
68,18356,437.68087747828173
69,18357,408.52878699638006
70,18358,410.0108782454598
71,18359,400.3192902514767
72,18360,512.0115927610841
73,18361,408.61203809558504
74,18362,345.81163979381864
75,18363,285.731803516426
76,18364,240.5013225025046
77,18365,215.2883547114022
78,18366,231.49344155223775
79,18367,268.4712477965696
80,18368,309.1613928567693
81,18369,399.5040695792037
82,18370,567.0506552541862
83,18371,628.6500027625832
84,18372,635.310375343994
85,18373,561.8824972948407
86,18374,600.7892639042802
87,18375,593.2008066189032
88,18376,578.060287526736
89,18377,591.5266146039039
90,18378,606.0848060386803
91,18379,643.1172055008926
92,18380,618.01342414555
93,18381,576.8501378637203
94,18382,578.9428778824692
95,18383,565.2581779337795
96,18384,505.6596492236015
97,18385,403.54285483603724
98,18386,341.5215494098698
99,18387,282.1870550996722
100,18388,237.51769704787807
101,18389,212.61751777579695
102,18390,228.62156659700895
103,18391,265.1406313973486
104,18392,305.32598026228914
105,18393,394.5478784912691
106,18394,560.0159048774542
107,18395,620.8510595768386
108,18396,627.4288045162705
109,18397,554.911862356147
110,18398,593.3359571116223
